trait1	trait2	n_species_overlap	phi	p_value
alcohol fermentation	alcohol fermentation	4440	1	
aerobic chemoheterotrophy	aerobic chemoheterotrophy	9478	1	
invertebrate parasites	invertebrate parasites	144	1	
human pathogens septicemia	human pathogens septicemia	43	1	
human pathogens pneumonia	human pathogens pneumonia	54	1	
human pathogens nosocomia	human pathogens nosocomia	13	1	
human pathogens meningitis	human pathogens meningitis	34	1	
human pathogens gastroenteritis	human pathogens gastroenteritis	24	1	
human pathogens diarrhea	human pathogens diarrhea	23	1	
human pathogens all	human pathogens all	448	1	
fish parasites	fish parasites	21	1	
human gut	human gut	327	1	
human associated	human associated	1234	1	
mammal gut	mammal gut	504	1	
animal parasites or symbionts	animal parasites or symbionts	1171	1	
plant pathogen	plant pathogen	219	1	
oil bioremediation	oil bioremediation	171	1	
aromatic hydrocarbon degradation	aromatic hydrocarbon degradation	379	1	
aromatic compound degradation	aromatic compound degradation	1074	1	
aliphatic non methane hydrocarbon degradation	aliphatic non methane hydrocarbon degradation	205	1	
hydrocarbon degradation	hydrocarbon degradation	428	1	
dark iron oxidation	dark iron oxidation	198	1	
iron oxidation	iron oxidation	151	1	
iron respiration	iron respiration	3734	1	
nitrate respiration	nitrate respiration	7187	1	
nitrate reduction	nitrate reduction	8511	1	
nitrogen respiration	nitrogen respiration	4185	1	
fumarate respiration	fumarate respiration	3914	1	
intracellular parasites	intracellular parasites	135	1	
chlorate reducers	chlorate reducers	22	1	
predatory or exoparasitic	predatory or exoparasitic	19	1	
anoxygenic photoautotrophy H2 oxidizing	anoxygenic photoautotrophy H2 oxidizing	1853	1	
anoxygenic photoautotrophy S oxidizing	anoxygenic photoautotrophy S oxidizing	1895	1	
anoxygenic photoautotrophy Fe oxidizing	anoxygenic photoautotrophy Fe oxidizing	1788	1	
anoxygenic photoautotrophy	anoxygenic photoautotrophy	1918	1	
oxygenic photoautotrophy	oxygenic photoautotrophy	13560	1	
photoautotrophy	photoautotrophy	1977	1	
aerobic anoxygenic phototrophy	aerobic anoxygenic phototrophy	2990	1	
photoheterotrophy	photoheterotrophy	1864	1	
phototrophy	phototrophy	1960	1	
plastic degradation	plastic degradation	285	1	
ureolysis	ureolysis	6895	1	
reductive acetogenesis	reductive acetogenesis	464	1	
acetate oxidation	acetate oxidation	2708	1	
lactate oxidation	lactate oxidation	2098	1	
chemoheterotrophy	chemoheterotrophy	11879	1	
alginate degradation	alginate degradation	389	1	
pectin degradation	pectin degradation	575	1	
collagen degradation	collagen degradation	132	1	
anaerobic chemoheterotrophy	anaerobic chemoheterotrophy	6039	1	
obligate anaerobes	obligate anaerobes	11947	1	
facultative anaerobes	facultative anaerobes	6858	1	
sulfur reduction	sulfur reduction	4126	1	
aromatic hydrocarbon degradation	aromatic compound degradation	376	0.994487731424182	0
nitrate ammonification	nitrite ammonification	3186	0.989146960215541	0
aerobic ammonia oxidation	nitrification	1449	0.981635163865226	0
lactic acid fermentation	alcohol fermentation	4221	0.977367615833911	0
nitrate respiration	nitrogen respiration	4143	0.969982456456821	0
dark sulfur oxidation	dark thiosulfate oxidation	542	0.969855948613584	0
dark thiosulfate oxidation	dark oxidation of sulfur compounds	355	0.961282565702195	0
anoxygenic photoautotrophy S oxidizing	anoxygenic photoautotrophy	1892	0.96028005371235	0
reductive acetogenesis	anaerobic chemoheterotrophy	410	0.959088555178713	0
aromatic hydrocarbon degradation	aliphatic non methane hydrocarbon degradation	114	0.945264134480539	0
aromatic compound degradation	aliphatic non methane hydrocarbon degradation	168	0.938720972283969	0
reductive acetogenesis	obligate anaerobes	444	0.938435566914677	0
ligninolysis	plastic degradation	33	0.937614461876991	0
arsenate respiration	dissimilatory arsenate reduction	79	0.937162882376792	0
dark sulfide oxidation	dark oxidation of sulfur compounds	286	0.93653661985858	0
methanol oxidation	methylotrophy	421	0.927881097659309	0
dark sulfur oxidation	dark oxidation of sulfur compounds	318	0.926800515613886	0
photoautotrophy	phototrophy	1881	0.921854748032784	0
dark sulfur oxidation	dark iron oxidation	156	0.919368313157515	0
nitrite denitrification	nitrite respiration	4052	0.917974164580547	0
methanogenesis by CO2 reduction with H2	hydrogenotrophic methanogenesis	13325	0.915918846284556	0
respiration of sulfur compounds	reductive acetogenesis	378	0.914814724946562	0
nitrite respiration	nitrogen respiration	3911	0.898150037923444	0
fermentation	lactic acid fermentation	4789	0.897924238644466	0
fermentation	reductive acetogenesis	429	0.89540087158078	0
dark sulfide oxidation	dark thiosulfate oxidation	267	0.892741700995156	0
nitrite denitrification	nitrous oxide denitrification	3517	0.891267575396624	0
methanogenesis	methanogenesis by CO2 reduction with H2	13342	0.879114568282515	0
nitrate denitrification	nitrite denitrification	4122	0.877383680900472	0
nitrate denitrification	nitrate respiration	6890	0.875200868540398	0
photoheterotrophy	phototrophy	1827	0.873673966147187	0
nitrite ammonification	nitrite respiration	3198	0.871698319742028	0
dark sulfide oxidation	dark iron oxidation	140	0.86909438815465	0
dark sulfide oxidation	dark sulfur oxidation	248	0.867740278306596	0
nitrate denitrification	nitrite respiration	4018	0.865286708645642	0
dark oxidation of sulfur compounds	dark iron oxidation	150	0.861959511877952	0
anoxygenic photoautotrophy H2 oxidizing	anoxygenic photoautotrophy	1836	0.861891607371335	0
thiosulfate respiration	respiration of sulfur compounds	5834	0.861297729544715	0
dark sulfur oxidation	iron oxidation	92	0.858032500785362	0
nitrate ammonification	nitrite respiration	3185	0.856818111615176	0
dark oxidation of sulfur compounds	iron oxidation	85	0.856524347951626	0
dark sulfite oxidation	dark sulfur oxidation	178	0.847563909215742	0
nitrate denitrification	nitrogen respiration	3854	0.847477803436523	0
nitrite respiration	nitrate respiration	4118	0.846037333953467	0
dark sulfide oxidation	iron oxidation	74	0.837623365974115	0
aliphatic non methane hydrocarbon degradation	acetate oxidation	152	0.835319932209995	0
dark sulfite oxidation	dark oxidation of sulfur compounds	184	0.83493672907819	0
methanogenesis	hydrogenotrophic methanogenesis	13326	0.833149919356096	0
sulfate respiration	sulfite respiration	4702	0.829805191185292	0
manganese respiration	iron respiration	3417	0.829286087187356	0
gelatin degradation	collagen degradation	108	0.828752642706131	0
sulfate respiration	respiration of sulfur compounds	4655	0.825113759053365	0
nitrate denitrification	nitrous oxide denitrification	3496	0.823565920072967	0
thiosulfate respiration	reductive acetogenesis	375	0.818268919719657	0
sulfur respiration	sulfur reduction	3736	0.809218104293105	0
aromatic compound degradation	plastic degradation	49	0.807763746093835	0.003
sulfate respiration	thiosulfate respiration	4794	0.806676420490438	0
sulfur respiration	respiration of sulfur compounds	4738	0.802912447983312	0
anoxygenic photoautotrophy H2 oxidizing	anoxygenic photoautotrophy S oxidizing	1829	0.798500628240624	0
respiration of sulfur compounds	dark hydrogen oxidation	461	0.797892939519134	0
fumarate respiration	reductive acetogenesis	343	0.79613536646674	0
sulfite respiration	thiosulfate respiration	5831	0.790408237923988	0
lactic acid fermentation	reductive acetogenesis	345	0.783003983447874	0
alcohol fermentation	reductive acetogenesis	345	0.777195887859841	0
methanogenesis using formate	methanogenesis by CO2 reduction with H2	13337	0.768677445945434	0
dark hydrogen oxidation	dark sulfur oxidation	473	0.765021375812912	0
nitrite denitrification	nitrogen respiration	3754	0.764089983772927	0
sulfite respiration	respiration of sulfur compounds	5729	0.763496882705912	0
nitrous oxide denitrification	nitrite respiration	3318	0.762893993549396	0
dark hydrogen oxidation	dark oxidation of sulfur compounds	236	0.762455569144027	0
nitrite ammonification	nitrogen respiration	3171	0.760070950771713	0
fermentation	anaerobic chemoheterotrophy	5265	0.754304301249493	0
fermentation	alcohol fermentation	4422	0.753729128900006	0
lactic acid fermentation	anaerobic chemoheterotrophy	3445	0.753572202794891	0
methylotrophy	chemoheterotrophy	416	0.747569646999343	0
nitrate ammonification	nitrogen respiration	3161	0.746989953776658	0
anoxygenic photoautotrophy	photoautotrophy	1903	0.744957128632711	0
respiration of sulfur compounds	sulfur reduction	3641	0.744847016788668	0
arsenate respiration	iron respiration	3354	0.74181555779061	0
dark sulfite oxidation	dark thiosulfate oxidation	183	0.733348935280869	0
aliphatic non methane hydrocarbon degradation	lactate oxidation	142	0.728650074405356	0
sulfite respiration	reductive acetogenesis	372	0.728302265797301	0
sulfur respiration	reductive acetogenesis	364	0.727511989430597	0
nitrate ammonification	nitrate respiration	3242	0.726073739725767	0
nitrite denitrification	nitrate respiration	4084	0.720895095400662	0
dark hydrogen oxidation	dark thiosulfate oxidation	479	0.703486387637254	0
methanogenesis using formate	hydrogenotrophic methanogenesis	13325	0.702075766503918	0
knallgas bacteria	facultative anaerobes	1445	0.701241588956239	0
anoxygenic photoautotrophy S oxidizing	photoautotrophy	1886	0.697986021309131	0
dark iron oxidation	nitrate reduction	42	0.697695382064298	0
collagen degradation	anaerobic chemoheterotrophy	85	0.693853270326447	0
nitrite ammonification	nitrate respiration	3192	0.692793884433438	0
nitrite ammonification	fumarate respiration	3149	0.691517836887244	0
respiration of sulfur compounds	obligate anaerobes	5809	0.687373079698162	0
oxygenic photoautotrophy	photoautotrophy	1977	0.683934486872641	0
dark hydrogen oxidation	nitrite ammonification	156	0.683662929398106	0
iron respiration	fumarate respiration	3574	0.680697838808131	0
iron oxidation	nitrate reduction	58	0.680429863348066	0
nitrogen respiration	anaerobic chemoheterotrophy	3496	0.678222127346482	0
photoautotrophy	photoheterotrophy	1762	0.676028739468444	0
anoxygenic photoautotrophy	phototrophy	1809	0.675835213503054	0
methanogenesis	methanogenesis using formate	13338	0.673078579591245	0
alginate degradation	pectin degradation	138	0.67274975685678	0
nitrite ammonification	anaerobic chemoheterotrophy	3124	0.671332198074824	0
sulfate respiration	reductive acetogenesis	386	0.670885248603801	0
nitrous oxide denitrification	nitrogen respiration	3297	0.668292887541169	0
anaerobic chemoheterotrophy	facultative anaerobes	5532	0.666125721726112	0
nitrous oxide denitrification	nitrate respiration	3423	0.661168611916892	0
dark sulfide oxidation	sulfur reduction	63	0.659556316688515	0
thiosulfate respiration	dark hydrogen oxidation	465	0.655751082266339	0
sulfur respiration	thiosulfate respiration	4787	0.648798231855574	0
alcohol fermentation	anaerobic chemoheterotrophy	3335	0.640715591781649	0
methanol oxidation	reductive acetogenesis	53	0.640618511330061	0
dark hydrogen oxidation	nitrate ammonification	160	0.63815677097509	0
reductive acetogenesis	sulfur reduction	178	0.635157070043676	0
anoxygenic photoautotrophy S oxidizing	phototrophy	1796	0.62714338988598	0
dark hydrogen oxidation	reductive acetogenesis	75	0.62684858650382	0
plastic degradation	lactate oxidation	79	0.626267248624786	0
nitrogen respiration	facultative anaerobes	3636	0.623820726893084	0
sulfite respiration	dark hydrogen oxidation	430	0.619987153691088	0
lactic acid fermentation	facultative anaerobes	3728	0.61804538523079	0
aromatic hydrocarbon degradation	acetate oxidation	164	0.616952358906532	0
anoxygenic photoautotrophy	photoheterotrophy	1724	0.616525662315127	0
iron respiration	nitrogen respiration	3532	0.615471252872672	0
anammox	nitrite respiration	3130	0.614102038999035	0
nitrite ammonification	obligate anaerobes	3194	0.613443486699017	0
nitrite ammonification	lactic acid fermentation	2752	0.612424341462328	0
aerobic anoxygenic phototrophy	photoheterotrophy	1724	0.609458984544418	0
aromatic hydrocarbon degradation	hydrocarbon degradation	296	0.60850482635948	0
thiosulfate respiration	dissimilatory arsenate reduction	77	0.602731671039406	0
nitrate ammonification	obligate anaerobes	3239	0.600945922769255	0
dark oxidation of sulfur compounds	sulfur reduction	100	0.59996586351091	0
sulfur respiration	nitrate ammonification	2046	0.598470494195522	0
aromatic compound degradation	hydrocarbon degradation	360	0.594416775267114	0
aliphatic non methane hydrocarbon degradation	hydrocarbon degradation	196	0.592637757989754	0
xylanolysis	pectin degradation	215	0.590623873493471	0
plastic degradation	acetate oxidation	82	0.590404060758337	0
sulfur respiration	iron respiration	2534	0.586402280454268	0
manganese respiration	fumarate respiration	3439	0.58620024397948	0
knallgas bacteria	dark sulfur oxidation	97	0.581772086346758	0
thiosulfate respiration	sulfur reduction	3635	0.580581308447806	0
dark sulfide oxidation	ureolysis	53	0.580354486983025	0
sulfate respiration	dark hydrogen oxidation	375	0.580031616163172	0
thiosulfate respiration	obligate anaerobes	5903	0.579860490460164	0
dissimilatory arsenate reduction	lactate oxidation	40	0.577746664889732	0
sulfur respiration	manganese respiration	2392	0.577561953090068	0
sulfur respiration	nitrite ammonification	2035	0.576275152278036	0
respiration of sulfur compounds	iron respiration	3566	0.575181557695221	0
nitrate respiration	nitrate reduction	6211	0.573498099347735	0
sulfate respiration	obligate anaerobes	4683	0.561941427700785	0
methanogenesis	methanogenesis by disproportionation of methyl groups	13314	0.561308143557754	0
fumarate respiration	anaerobic chemoheterotrophy	3487	0.559103684728398	0
methylotrophy	aerobic chemoheterotrophy	414	0.557263042670061	0
nitrogen respiration	fumarate respiration	3602	0.556043952836652	0
dark hydrogen oxidation	dark sulfide oxidation	197	0.55492096744599	0
anoxygenic photoautotrophy S oxidizing	photoheterotrophy	1720	0.554301739780897	0
oxygenic photoautotrophy	phototrophy	1960	0.554068548247087	0
methanol oxidation	dark hydrogen oxidation	182	0.551759933657967	0
respiration of sulfur compounds	nitrate ammonification	3153	0.550787167989531	0
dark hydrogen oxidation	nitrogen respiration	328	0.546124125085125	0
sulfite respiration	obligate anaerobes	5662	0.54485544464351	0
methanotrophy	hydrocarbon degradation	82	0.544780747070019	0.001
dark hydrogen oxidation	sulfur reduction	341	0.541314192941984	0
dark sulfide oxidation	nitrate reduction	96	0.540542389452271	0
sulfur respiration	obligate anaerobes	4750	0.539515627977487	0
anoxygenic photoautotrophy H2 oxidizing	photoautotrophy	1830	0.537851347256962	0
dark hydrogen oxidation	obligate anaerobes	753	0.535181927530872	0
ligninolysis	nitrate reduction	30	0.530349130656257	0.008
cellulolysis	xylanolysis	541	0.529285905342874	0
respiration of sulfur compounds	nitrite ammonification	3146	0.527392643116254	0
fermentation	facultative anaerobes	5828	0.525036386230308	0
alcohol fermentation	obligate anaerobes	4264	0.524149186222696	0
respiration of sulfur compounds	dissimilatory arsenate reduction	76	0.522976360368491	0
aromatic hydrocarbon degradation	lactate oxidation	142	0.517426746046724	0
iron respiration	anaerobic chemoheterotrophy	3341	0.51634894914042	0
nitrate reduction	nitrogen respiration	3284	0.498927160082792	0
sulfur respiration	dark hydrogen oxidation	387	0.496815845115266	0
obligate anaerobes	sulfur reduction	3918	0.495928651168429	0
oil bioremediation	chemoheterotrophy	171	0.495568597970168	0.029
nitrate ammonification	anaerobic chemoheterotrophy	3146	0.491837499423604	0
aromatic compound degradation	acetate oxidation	397	0.491291921022736	0
dark oxidation of sulfur compounds	nitrate reduction	184	0.487692491653701	0
respiration of sulfur compounds	fumarate respiration	3672	0.484186501698404	0
sulfur respiration	fumarate respiration	2591	0.483138523154827	0
oil bioremediation	aromatic compound degradation	49	0.478723404255319	0.08
sulfur respiration	sulfite respiration	4648	0.477491522338407	0
nitrite respiration	facultative anaerobes	3655	0.476400037706829	0
respiration of sulfur compounds	anaerobic chemoheterotrophy	4077	0.475946207656813	0
nitrite ammonification	facultative anaerobes	3175	0.47395166567629	0
arsenate respiration	nitrogen respiration	3393	0.473638334333518	0
arsenate respiration	nitrite respiration	3396	0.472942711371228	0
iron oxidation	nitrate respiration	80	0.471939903724269	0.001
manganese respiration	nitrogen respiration	3414	0.468170824583375	0
iron respiration	nitrate respiration	3661	0.467508450500009	0
aerobic anoxygenic phototrophy	phototrophy	1769	0.465703853783113	0
respiration of sulfur compounds	nitrogen respiration	3713	0.464172663981936	0
anoxygenic photoautotrophy H2 oxidizing	phototrophy	1745	0.464097355477131	0
dark oxidation of sulfur compounds	ureolysis	86	0.459621358571748	0
sulfur respiration	arsenate respiration	2377	0.455240914467008	0
dark hydrogen oxidation	nitrite respiration	312	0.453230751835289	0
dark hydrogen oxidation	fumarate respiration	283	0.452004963381756	0
methanogenesis by disproportionation of methyl groups	acetoclastic methanogenesis	13314	0.45188823645657	0
nitrogen fixation	pectin degradation	72	0.446990156267674	0
thiosulfate respiration	dark sulfur oxidation	278	0.445680378199626	0
respiration of sulfur compounds	manganese respiration	3406	0.445112266397976	0
sulfur respiration	dark oxidation of sulfur compounds	136	0.445010559463928	0
acetate oxidation	lactate oxidation	1611	0.444213549414944	0
sulfur respiration	nitrogen respiration	2598	0.443793230795701	0
knallgas bacteria	aerobic chemoheterotrophy	1459	0.441696390142128	0
anoxygenic photoautotrophy H2 oxidizing	photoheterotrophy	1692	0.439410861982094	0
dark hydrogen oxidation	iron respiration	269	0.435933540373303	0
methylotrophy	hydrocarbon degradation	84	0.435285750066007	0
aromatic compound degradation	lactate oxidation	324	0.433649833550281	0
thiosulfate respiration	anaerobic chemoheterotrophy	4198	0.43336005174288	0
nitrate denitrification	nitrate reduction	5995	0.431349507831116	0
sulfite respiration	sulfur reduction	3496	0.429747514062915	0
sulfate respiration	sulfur reduction	3527	0.428572131855065	0
nitrite respiration	fumarate respiration	3610	0.427639316074972	0
dark sulfur oxidation	nitrogen respiration	247	0.425472036862403	0
sulfate respiration	sulfur respiration	4710	0.42538129698077	0
nitrite respiration	anaerobic chemoheterotrophy	3513	0.419753418190681	0
iron oxidation	nitrogen respiration	50	0.415734624865372	0.007
methanol oxidation	ureolysis	233	0.415043049029696	0
anaerobic chemoheterotrophy	obligate anaerobes	5807	0.413837546305415	0
arsenate respiration	nitrate respiration	3431	0.413581049143953	0
cellulolysis	alginate degradation	264	0.412271850192511	0
iron respiration	sulfur reduction	1452	0.410629910183944	0
hydrocarbon degradation	chemoheterotrophy	427	0.405874151705298	0
hydrocarbon degradation	acetate oxidation	220	0.405460770503249	0
xylanolysis	reductive acetogenesis	44	0.405413516113633	0.015
anammox	nitrogen respiration	3118	0.404618758152112	0
iron respiration	obligate anaerobes	3662	0.403546338680125	0
thiosulfate respiration	iron respiration	3608	0.401552957363965	0
nitrate respiration	fumarate respiration	3790	0.398232565858017	0
dark sulfur oxidation	nitrate respiration	294	0.395319594144806	0
respiration of sulfur compounds	arsenate respiration	3409	0.395253848127585	0
sulfate respiration	anaerobic chemoheterotrophy	3021	0.391388653929643	0
sulfite respiration	fumarate respiration	3689	0.391025324320799	0
sulfite respiration	anaerobic chemoheterotrophy	4054	0.390328616269108	0
dissimilatory arsenate reduction	chemoheterotrophy	76	0.390038225619258	0.001
dissimilatory arsenate reduction	anaerobic chemoheterotrophy	52	0.388014121940988	0.009
aerobic chemoheterotrophy	chemoheterotrophy	9262	0.385114219250295	0
chitinolysis	xylanolysis	369	0.383143381546055	0
thiosulfate respiration	fumarate respiration	3727	0.381636953718124	0
nitrous oxide denitrification	anaerobic chemoheterotrophy	3161	0.381207624366992	0
gelatin degradation	plastic degradation	148	0.380620579882922	0
nitrite respiration	iron respiration	3536	0.37934690289364	0
thiosulfate respiration	nitrite ammonification	3146	0.377048598878602	0
dark hydrogen oxidation	manganese respiration	204	0.376363606888846	0
respiration of sulfur compounds	dark oxidation of sulfur compounds	166	0.376346503434643	0
hydrocarbon degradation	lactate oxidation	198	0.374114140285274	0
aerobic ammonia oxidation	ureolysis	312	0.374010151567705	0
dark sulfur oxidation	sulfur reduction	141	0.373208988348079	0
nitrous oxide denitrification	facultative anaerobes	3205	0.372728834144277	0
methanogenesis	acetoclastic methanogenesis	13321	0.370534491653727	0
manganese respiration	anaerobic chemoheterotrophy	3162	0.370305932752035	0
methanotrophy	aerobic chemoheterotrophy	154	0.369961775259095	0
nitrite respiration	nitrate reduction	3317	0.369748998346708	0
thiosulfate respiration	nitrate ammonification	3158	0.368420397271712	0
aerobic chemoheterotrophy	dark iron oxidation	128	0.367882557198043	0
thiosulfate respiration	nitrogen respiration	3736	0.364049329844429	0
respiration of sulfur compounds	dark sulfur oxidation	276	0.361615036420548	0
dark hydrogen oxidation	anaerobic chemoheterotrophy	590	0.36138867974786	0
dark thiosulfate oxidation	nitrogen respiration	277	0.35993333540231	0
chitinolysis	pectin degradation	267	0.358462805751098	0
arsenate respiration	dark hydrogen oxidation	218	0.357884998100923	0
manganese respiration	nitrate respiration	3460	0.354791785303749	0
plastic degradation	ureolysis	122	0.349381384397338	0
cellulolysis	pectin degradation	349	0.34844766137469	0
knallgas bacteria	dark oxidation of sulfur compounds	67	0.347999053904023	0.005
thiosulfate respiration	arsenate respiration	3420	0.346168100129168	0
aerobic chemoheterotrophy	facultative anaerobes	5399	0.345575390150736	0
thiosulfate respiration	dark oxidation of sulfur compounds	175	0.345148543063017	0
aromatic compound degradation	alginate degradation	139	0.344898150501375	0.001
reductive acetogenesis	lactate oxidation	103	0.341962900326683	0
methylotrophy	lactate oxidation	241	0.341584176118394	0
arsenate respiration	anaerobic chemoheterotrophy	3156	0.341139911860845	0
nitrite respiration	dark thiosulfate oxidation	266	0.340463631348906	0
dark sulfur oxidation	ureolysis	133	0.335946532918133	0.001
nitrite denitrification	facultative anaerobes	3618	0.334878507214081	0
respiration of sulfur compounds	nitrate respiration	4817	0.331807951820297	0
methanotrophy	methanol oxidation	141	0.33081952548415	0
dark oxidation of sulfur compounds	aerobic chemoheterotrophy	309	0.329844124777118	0
nitrogen respiration	sulfur reduction	1556	0.328672486840161	0
iron oxidation	acetate oxidation	94	0.326558925219832	0.005
fermentation	collagen degradation	116	0.326285513550699	0
nitrite denitrification	dark hydrogen oxidation	270	0.323454487835724	0
sulfur respiration	dissimilatory arsenate reduction	77	0.322748612183951	0.008
manganese respiration	obligate anaerobes	3429	0.321319766021846	0
dark oxidation of sulfur compounds	nitrate respiration	221	0.320385486630262	0
methanogenesis	obligate anaerobes	11737	0.320277668208402	0
xylanolysis	fermentation	630	0.319506204738139	0
xylanolysis	lactic acid fermentation	394	0.319483670877995	0
nitrate ammonification	facultative anaerobes	3191	0.318716269443556	0
manganese respiration	sulfur reduction	1314	0.316985335961775	0
sulfur respiration	anaerobic chemoheterotrophy	3010	0.316278555005242	0
nitrogen fixation	lactate oxidation	166	0.313994743450335	0
lactic acid fermentation	obligate anaerobes	4582	0.313440028398169	0
gelatin degradation	dark oxidation of sulfur compounds	103	0.312569158190407	0.002
xylanolysis	anaerobic chemoheterotrophy	457	0.311000260783306	0
sulfate respiration	fumarate respiration	2596	0.307944849379843	0
nitrate denitrification	dark thiosulfate oxidation	305	0.307192865710918	0
dark thiosulfate oxidation	nitrate respiration	334	0.307033885592514	0
xylanolysis	aromatic compound degradation	153	0.30437430889687	0.001
nitrate denitrification	dark sulfur oxidation	259	0.302765035409749	0
dark oxidation of sulfur compounds	chemoheterotrophy	379	0.301977892510891	0
fumarate respiration	sulfur reduction	1513	0.301569509919536	0
sulfur respiration	nitrate respiration	3745	0.301389659850326	0
fumarate respiration	obligate anaerobes	3843	0.298715394420732	0
dark oxidation of sulfur compounds	nitrogen respiration	178	0.297783228179294	0
photoheterotrophy	lactate oxidation	486	0.295448322093233	0
sulfur respiration	nitrite respiration	2682	0.29469870978158	0
nitrate respiration	anaerobic chemoheterotrophy	4313	0.293793691244921	0
nitrification	ureolysis	371	0.293165863839429	0
photoheterotrophy	acetate oxidation	592	0.292050351148463	0
knallgas bacteria	nitrite respiration	268	0.291806870420822	0
sulfur respiration	dark sulfur oxidation	200	0.291799029934569	0
methanol oxidation	aerobic chemoheterotrophy	600	0.291068014638105	0
respiration of sulfur compounds	nitrite respiration	3786	0.290890942248251	0
nitrite respiration	dark sulfur oxidation	224	0.28903665650804	0
nitrogen fixation	fermentation	294	0.288107363395678	0
dark hydrogen oxidation	nitrate respiration	462	0.288059057961575	0
dark thiosulfate oxidation	ureolysis	171	0.286834857096806	0.001
fermentation	fumarate respiration	3707	0.286511018900582	0
gelatin degradation	aromatic hydrocarbon degradation	282	0.284719252608657	0
cellulolysis	plastic degradation	39	0.284267621807481	0.151
methanol oxidation	chemoheterotrophy	659	0.283898839348502	0
anoxygenic photoautotrophy	aerobic anoxygenic phototrophy	1753	0.280741428410331	0
methanogenesis	dark hydrogen oxidation	812	0.280462637317156	0
nitrate ammonification	sulfur reduction	1244	0.279832670226868	0
methanogenesis by CO2 reduction with H2	obligate anaerobes	11735	0.279591548281846	0
phototrophy	acetate oxidation	616	0.27934017689303	0
aromatic hydrocarbon degradation	nitrogen respiration	215	0.279266487409211	0
nitrate respiration	facultative anaerobes	4751	0.277856105267204	0
hydrogenotrophic methanogenesis	dark hydrogen oxidation	811	0.277838822820686	0
chitinolysis	cellulolysis	924	0.276999644125269	0
methanotrophy	methylotrophy	143	0.276893643738297	0.001
nitrite denitrification	nitrate reduction	3341	0.276791700719186	0
methanotrophy	chemoheterotrophy	154	0.276517213054526	0.001
methanogenesis by CO2 reduction with H2	dark hydrogen oxidation	812	0.273985687244003	0
dissimilatory arsenate reduction	nitrate reduction	48	0.272434682087904	0.07
pectin degradation	anaerobic chemoheterotrophy	329	0.272376758152583	0
oil bioremediation	lactate oxidation	31	0.271225401448324	0.228
gelatin degradation	aliphatic non methane hydrocarbon degradation	163	0.267629445909215	0
fermentation	obligate anaerobes	7571	0.2664552129253	0
methylotrophy	acetate oxidation	290	0.265960479153562	0
nitrite denitrification	dark thiosulfate oxidation	248	0.265738917904078	0
